"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vtvv&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2023&end=2024&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat May 17 2025 17:01:09 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"Middle Atlantic : all solar","thousand megawatthours","ELEC.GEN.TSN-MAT-99.A",12304,15283
"Middle Atlantic : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-MAT-99.A",8163,8922
"Middle Atlantic : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-MAT-99.A",4141,6361
"New Jersey",,"ELEC.GEN..A",,
"New Jersey : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NJ-99.A",64229,61232
"New Jersey : coal","thousand megawatthours","ELEC.GEN.COW-NJ-99.A",0,0
"New Jersey : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NJ-99.A",42,33
"New Jersey : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NJ-99.A",0,0
"New Jersey : natural gas","thousand megawatthours","ELEC.GEN.NG-NJ-99.A",33056,30514
"New Jersey : other gases","thousand megawatthours","ELEC.GEN.OOG-NJ-99.A",161,164
"New Jersey : nuclear","thousand megawatthours","ELEC.GEN.NUC-NJ-99.A",28335,27677
"New Jersey : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NJ-99.A",12,4
"New Jersey : other renewables",,"ELEC.GEN.AOR-NJ-99.A",,
"New Jersey : wind","thousand megawatthours","ELEC.GEN.WND-NJ-99.A",18,19
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A",1544,1787
"New Jersey : geothermal","thousand megawatthours","ELEC.GEN.GEO-NJ-99.A","--","--"
"New Jersey : biomass","thousand megawatthours","ELEC.GEN.BIO-NJ-99.A",671,654
"New Jersey : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NJ-99.A","--","--"
"New Jersey : other biomass","thousand megawatthours","ELEC.GEN.WAS-NJ-99.A",671,654
"New Jersey : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NJ-99.A",-165,-232
"New Jersey : other","thousand megawatthours","ELEC.GEN.OTH-NJ-99.A",554,613
"New Jersey : all solar","thousand megawatthours","ELEC.GEN.TSN-NJ-99.A",4710,5189
"New Jersey : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NJ-99.A",3166,3403
"New Jersey : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NJ-99.A",1544,1787
"New York",,"ELEC.GEN..A",,
"New York : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NY-99.A",124040,131671
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-99.A",0,0
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-99.A",413,433
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-99.A","--","--"
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-99.A",58428,64153
"New York : other gases","thousand megawatthours","ELEC.GEN.OOG-NY-99.A",0,0
"New York : nuclear","thousand megawatthours","ELEC.GEN.NUC-NY-99.A",27525,27073
"New York : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-NY-99.A",28434,28465
"New York : other renewables",,"ELEC.GEN.AOR-NY-99.A",,
"New York : wind","thousand megawatthours","ELEC.GEN.WND-NY-99.A",4800,5991
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-99.A",2236,3380
"New York : geothermal","thousand megawatthours","ELEC.GEN.GEO-NY-99.A","--","--"
"New York : biomass","thousand megawatthours","ELEC.GEN.BIO-NY-99.A",1627,1573
"New York : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-NY-99.A",217,163
"New York : other biomass","thousand megawatthours","ELEC.GEN.WAS-NY-99.A",1410,1410
"New York : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-NY-99.A",-372,-410
"New York : other","thousand megawatthours","ELEC.GEN.OTH-NY-99.A",949,1013
"New York : all solar","thousand megawatthours","ELEC.GEN.TSN-NY-99.A",6205,7905
"New York : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-NY-99.A",3968,4526
"New York : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-NY-99.A",2236,3380
"Pennsylvania",,"ELEC.GEN..A",,
"Pennsylvania : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-PA-99.A",235925,243613
"Pennsylvania : coal","thousand megawatthours","ELEC.GEN.COW-PA-99.A",12835,13201
"Pennsylvania : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-PA-99.A",49,88
"Pennsylvania : petroleum coke","thousand megawatthours","ELEC.GEN.PC-PA-99.A",0,0
"Pennsylvania : natural gas","thousand megawatthours","ELEC.GEN.NG-PA-99.A",139256,145473
"Pennsylvania : other gases","thousand megawatthours","ELEC.GEN.OOG-PA-99.A",578,371
